,Job_Title,Queried_Salary,Job_Type,Skill,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Company_Revenue,Company_Employees,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
47,Machine Learning Researcher SAN FRANCISCOMEMBER OF TECHNICAL...,<80000,data_scientist,"['AI', 'Machine Learning']",OpenAI,,,18.0,,,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Entry-Level Data Scientist,80000-99999,data_scientist,"['Java', 'Data Mining', 'Machine Learning', 'Design Experience', 'Scripting', 'R', 'SAS', 'Python']",IBM,23472.0,3.9000000953674316,1.0,,10000+,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
49,Trainee as Data Scientist (January to June 2019),80000-99999,data_scientist,"['Pentaho', 'Excel']",Asendia Management SAS,,,5.0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,Data Scientist,80000-99999,data_scientist,['Data Mining'],T-Mobile,8595.0,4.0,1.0,More than $10B (USD),10000+,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
51,Data Scientist-Tchnlgy,80000-99999,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'R', 'Oracle', 'SAS', 'SQL', 'DB2']",Walmart,157456.0,3.5999999046325684,1.0,More than $10B (USD),10000+,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
52,Data Scientist,80000-99999,data_scientist,,UES,11.0,4.400000095367432,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,Data Scientist,80000-99999,data_scientist,"['Natural Language Processing', 'Machine Learning']","NextEra Energy, Inc.",248.0,3.799999952316284,3.0,$1B to $5B (USD),10000+,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
54,Data Scientist - Life Sciences,80000-99999,data_scientist,"['AI', 'Next Generation Sequencing', 'Machine Learning', 'Bioinformatics']",Argonne National Laboratory,156.0,4.300000190734863,7.0,,10000+,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
55,Data Scientist,80000-99999,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'R', 'Oracle', 'SAS', 'SQL', 'DB2']",Walmart,157456.0,3.5999999046325684,7.0,More than $10B (USD),10000+,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
56,Data Scientist,80000-99999,data_scientist,,Elder Research Inc,,,30.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Data Scientist,80000-99999,data_scientist,"['.Net', 'Data Mining', 'C#', 'Machine Learning', 'R', 'C/C++', 'Python', 'SQL']",Microsoft,5178.0,4.199999809265137,10.0,More than $10B (USD),10000+,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
58,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Data Warehouse', 'R', 'SAS', 'Statisical Analysis', 'Python', 'SQL']",Dell,8696.0,4.0,8.0,More than $10B (USD),10000+,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
59,Data Scientist,80000-99999,data_scientist,,Elder Research Inc,,,30.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Data Scientist - Labor Planning & Analytics,80000-99999,data_scientist,"['Machine Learning', 'R', 'Microsoft Office', 'SQL', 'Alteryx', 'Data Warehouse', 'Python']",Dick's Sporting Goods,4635.0,3.5,4.0,$5B to $10B (USD),10000+,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
61,Associate Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'Perl', 'C/C++', 'SQL', 'Big Data', 'SPSS', 'MATLAB', 'Data Mining', 'Ruby', 'Hadoop', 'SAS', 'Tableau', 'Java', 'Spark', 'Git', 'Python', 'Data Science']",Hallmark,3006.0,3.9000000953674316,10.0,$1B to $5B (USD),Less than 10000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
