Index,Job_Title,Queried_Salary,Job_Type,Company,No_of_Reviews,No_of_Stars,Date_Since_Posted,Company_Revenue,Company_Employees,python,sql,machine learning,r,hadoop,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries
55,Data Scientist,80000-99999,data_scientist,Walmart,157456.0,3.5999999046325684,7.0,More than $10B (USD),10000+,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
56,Data Scientist,80000-99999,data_scientist,Elder Research Inc,,,30.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Data Scientist,80000-99999,data_scientist,Microsoft,5178.0,4.199999809265137,10.0,More than $10B (USD),10000+,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
58,Data Scientist,80000-99999,data_scientist,Dell,8696.0,4.0,8.0,More than $10B (USD),10000+,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
59,Data Scientist,80000-99999,data_scientist,Elder Research Inc,,,30.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Data Scientist - Labor Planning & Analytics,80000-99999,data_scientist,Dicks Sporting Goods,4635.0,3.5,4.0,$5B to $10B (USD),10000+,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
61,Associate Data Scientist,80000-99999,data_scientist,Hallmark,3006.0,3.9000000953674316,10.0,$1B to $5B (USD),Less than 10000,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
62,D3 - Junior Data Scientist 1,80000-99999,data_scientist,Allstate,5671.0,3.799999952316284,14.0,More than $10B (USD),10000+,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
63,Data Scientist,80000-99999,data_scientist,L. L. Bean,381.0,4.199999809265137,15.0,,,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,Data Scientist,80000-99999,data_scientist,University of California San Francisco,282.0,4.199999809265137,30.0,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,Data Scientist,80000-99999,data_scientist,Wunderman,197.0,3.9000000953674316,13.0,,,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,Data Scientist (Corporate),80000-99999,data_scientist,MGM Resorts International,1296.0,4.0,4.0,$5B to $10B (USD),10000+,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,Junior Data Scientist,80000-99999,data_scientist,Interactive Brokers,27.0,3.299999952316284,30.0,$1B to $5B (USD),Less than 10000,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
68,D3 - Junior Data Scientist,80000-99999,data_scientist,Allstate,5671.0,3.799999952316284,30.0,More than $10B (USD),10000+,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
69,Data Scientist II (Forecasting & Scheduling),80000-99999,data_scientist,Grubhub,322.0,3.299999952316284,28.0,Less than $1B (USD),Less than 10000,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
70,Data Scientist,80000-99999,data_scientist,Amica Insurance Company,198.0,3.9000000953674316,13.0,,Less than 10000,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
71,Data Scientist,80000-99999,data_scientist,UPMC,2433.0,3.799999952316284,4.0,More than $10B (USD),10000+,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
72,Data Scientist,80000-99999,data_scientist,Hearts and Science,,,13.0,,,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Data Scientist,80000-99999,data_scientist,Hearts and Science,,,13.0,,,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"Data Scientist, International Programs",80000-99999,data_scientist,Operation Smile,32.0,4.599999904632568,5.0,Less than $1B (USD),Less than 10000,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Data Scientist (Python/R) – People Analytics - USDC,80000-99999,data_scientist,Deloitte,7197.0,4.0,23.0,,10000+,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
76,Data Scientist,80000-99999,data_scientist,Sedgwick Claims Management Services,1005.0,3.2000000476837163,19.0,,10000+,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
77,Data Scientist II,80000-99999,data_scientist,MetLife,3842.0,3.9000000953674316,11.0,More than $10B (USD),10000+,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
78,Junior Data Scientist,80000-99999,data_scientist,Dow Jones,181.0,3.799999952316284,30.0,,Less than 10000,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,"Data Scientist, Membership Analytics Job",80000-99999,data_scientist,"BJs Wholesale Club, Inc.",2550.0,3.5,20.0,More than $10B (USD),10000+,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
80,Data Scientist,80000-99999,data_scientist,Code Pilot,,,30.0,,,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Data Scientist,80000-99999,data_scientist,Talking Rain Beverage Company,17.0,3.799999952316284,28.0,Less than $1B (USD),Less than 10000,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
82,Data Scientist,80000-99999,data_scientist,Bright Cellars,3.0,1.2999999523162842,30.0,,,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,Data Scientist - Junior,80000-99999,data_scientist,MetroStar Systems,11.0,4.5,18.0,,Less than 10000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,Data Scientist,80000-99999,data_scientist,Omatic Software,,,30.0,,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
